epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,25334.9,0.38444,0.31725,0.89889,0.99411,0.93913,0.97824,0.9435,0.22975,0.20624,0.79346,0.0004555,0.0004555,0.0004555
57,25511.3,0.40764,0.31686,0.90671,0.99514,0.93464,0.97664,0.94383,0.22951,0.20057,0.7939,0.0004456,0.0004456,0.0004456
58,25689.9,0.39454,0.31637,0.90425,0.99027,0.95213,0.9769,0.94243,0.24058,0.2016,0.79733,0.0004357,0.0004357,0.0004357
59,25864.3,0.38636,0.3078,0.90105,0.97864,0.94785,0.97618,0.94021,0.23622,0.20478,0.79622,0.0004258,0.0004258,0.0004258
60,26050.1,0.37796,0.30092,0.90266,0.99111,0.94251,0.9784,0.94299,0.24092,0.20581,0.80663,0.0004159,0.0004159,0.0004159
61,26239.7,0.39337,0.32326,0.909,0.99569,0.9439,0.97851,0.94209,0.24581,0.20647,0.80136,0.000406,0.000406,0.000406
62,26444.7,0.38493,0.30074,0.9029,0.99123,0.94368,0.9789,0.94351,0.23875,0.19886,0.79759,0.0003961,0.0003961,0.0003961
63,26632.3,0.39016,0.30241,0.90317,0.99854,0.93164,0.97836,0.94109,0.24263,0.20214,0.80021,0.0003862,0.0003862,0.0003862
64,26816.3,0.37879,0.29539,0.9013,0.98466,0.93717,0.97915,0.94346,0.2344,0.20077,0.79505,0.0003763,0.0003763,0.0003763
65,26996.1,0.38233,0.29143,0.89443,0.98731,0.95523,0.98082,0.94391,0.23294,0.18958,0.79924,0.0003664,0.0003664,0.0003664
66,27172.3,0.37688,0.29178,0.89149,0.98806,0.96101,0.98031,0.94405,0.2287,0.19617,0.79339,0.0003565,0.0003565,0.0003565
67,27377,0.37388,0.28881,0.89266,0.99816,0.94338,0.97931,0.9423,0.23604,0.19449,0.79791,0.0003466,0.0003466,0.0003466
68,27562.2,0.37902,0.29967,0.89079,0.99604,0.94314,0.97944,0.94314,0.22936,0.18857,0.79663,0.0003367,0.0003367,0.0003367
69,27743.8,0.38926,0.30229,0.9002,0.9844,0.96206,0.9797,0.94102,0.23781,0.18911,0.7986,0.0003268,0.0003268,0.0003268
70,27922.9,0.38168,0.28878,0.89886,0.99292,0.94569,0.97868,0.94467,0.22515,0.1906,0.79339,0.0003169,0.0003169,0.0003169
71,28098.4,0.37364,0.28677,0.89034,0.99427,0.94385,0.97945,0.94579,0.2211,0.18569,0.79075,0.000307,0.000307,0.000307
72,28279.4,0.36455,0.29163,0.89011,0.98313,0.95155,0.97909,0.94606,0.21855,0.18533,0.78742,0.0002971,0.0002971,0.0002971
73,28459.5,0.39019,0.30141,0.90525,0.99024,0.95147,0.97884,0.944,0.22798,0.19159,0.79028,0.0002872,0.0002872,0.0002872
74,28653.8,0.39278,0.30052,0.90689,0.99003,0.95804,0.97858,0.94697,0.22554,0.18652,0.79121,0.0002773,0.0002773,0.0002773
75,28851.2,0.37959,0.29048,0.89488,0.98873,0.95591,0.97938,0.94257,0.24005,0.19242,0.79572,0.0002674,0.0002674,0.0002674
76,29040.2,0.37869,0.29684,0.89448,0.97778,0.96217,0.98024,0.94283,0.23158,0.19132,0.795,0.0002575,0.0002575,0.0002575
77,29235.9,0.37556,0.28922,0.88997,0.97701,0.95856,0.97964,0.94506,0.22902,0.18242,0.79227,0.0002476,0.0002476,0.0002476
78,29437.3,0.37512,0.28722,0.89942,0.98713,0.96341,0.98003,0.94412,0.22694,0.17465,0.78993,0.0002377,0.0002377,0.0002377
79,29638.8,0.36383,0.28159,0.88177,0.99089,0.95931,0.97991,0.94346,0.22626,0.17391,0.79079,0.0002278,0.0002278,0.0002278
80,29844.9,0.3643,0.2925,0.88581,0.97554,0.95769,0.98067,0.94684,0.21482,0.1729,0.7881,0.0002179,0.0002179,0.0002179
